internal_sku,squarespace_product,squarespace_variant,squarespace_sku,quickbooks_item,tannage,color,weight,product_type,needs_qb_item,needs_review
CFS-SMP-DOE,C.F. Stead  Swatch Books,Doeskin,SQ0312892,Sample Book - All Stead,Doeskin,,,sample_book,,
HOR-SMP-CHX,Horween Swatch Books,Chromexcel,SQ9121020,Sample Book - All Horween,Chromexcel,,,sample_book,,
HOR-SMP-LAT,Horween Swatch Books,Illini Latigo,SQ3355319,Sample Book - All Horween,Latigo,,,sample_book,,
HOR-SMP-ESX,Horween Swatch Books,Essex,SQ6623519,Sample Book - All Horween,Essex,,,sample_book,,
HOR-SMP-LAT,Horween Swatch Books,Latigo,SQ9866062,Sample Book - All Horween,Latigo,,,sample_book,,
VIR-SMP-VAC,Virgilio Swatch Books,Vachetta,SQ2702441,Sample Book - Vachetta,Vachetta,,,sample_book,,
VIR-SMP-VAC,Virgilio Swatch Books,Vachetta Box,SQ8097175,Sample Book - Vachetta,Vachetta,,,sample_book,,
HOR-PNL-DRB-NAT-34,Horween Derby Leather Panels,2’ Panel (12”x24”) - Natural - 3-4 oz (1.2-1.6 mm),SQ6529218,Panel Derby Natural 3.5-4 oz,Derby,Natural,3-4,panel,,
HOR-DRB-BLK-45,Horween • Derby,Black - 4-5 oz (1.6 – 2 mm),SQ4950740,Derby Black 3.5-4 oz,Derby,Black,4-5,full_hide,,
HOR-CHX-BUR-56,Horween • Chromexcel®,Burgundy - 5-6 oz (2.0 –  2.4 mm),SQ3348808,Chrxl #5872 Burgundy 5-6 oz,Chromexcel,Burgundy,5-6,full_hide,,
HOR,Horween • Basketball,,SQ0699788,Horween 2003C Basketball Leather,,,,basketball,,
ACC,30mm Black Cordovan Belt,Size 32 - Increase pant size by 2 for belt size - Silver,SQ2785369,Commission,,,,accessory,,
ACC,30mm Color 8 Cordovan Belt,Size 34 - Increase Pant Size by 2 for Belt Size - Silver,SQ3037962,Commission,,,,accessory,,
ACC,32mm Color 8 Cordovan Belt,Size 34 - Increase Pant Size by 2 for Belt Size - Brass,SQ1512920,Commission,,,,accessory,,
TUS-SOK-CHE,Tusting & Burnett • Sokoto Bookbinding,Chestnut,SQ5877255,T & B Sokoto Book Chestnut 2 oz,Sokoto,Chestnut,,bookbinding,,
WAL-BUT-555,Conceria Walpier • Buttero,Resin - Foresta - 5-5.5 oz (2-2.2 mm),SQ1144525,Buttero #100 Black (Res) 5-5.5,Buttero,,5-5.5,full_hide,,
HOR-STR-RUS-9+,Horween • Russet Horsehide Strips,Hard Rolled Strips - 9+ oz,SQ6941548,Russet Strips HR 9 oz and up,Russet Horsehide,,9+,strips,,
HOR-DRB-NAT-56,Horween • Derby,Natural - 5-6 oz (2.0 –  2.4 mm),SQ8150891,Derby Natural 5-6 oz,Derby,Natural,5-6,full_hide,,
BLK,Calf Lining,Black,SQ8760515,Glovey Black Calf Lining,,Black,,lining,,
HOR-CHX-NAT-45,Horween • Chromexcel®,Natural - 4-5 oz (1.6 – 2 mm),SQ4368776,*Chrxl Natural 4-5 oz,Chromexcel,Natural,4-5,full_hide,,
