SquarespaceProductName,QuickBooksItem
Horween • Dublin - Natural - 5-6 oz (2.0 –  2.4 mm),*Natural Dublin 5.5-6z
"Coronado • Clark Backpack, Horween Brown Nut Dublin",*Brown Nut Dublin 6-7 oz
Horween • Cypress - Dark Sand - 3-4 oz (1.2-1.6 mm),Cypress Black 3.5-4oz
Horween • Dublin - English Tan - 4-5 oz (1.6 – 2 mm),*English Tan Dublin 4.5-5z
Horween • Cypress - Persian Red - 3-4 oz (1.2-1.6 mm),Cypress Black 3.5-4oz
Horween • Dublin - English Tan - 3-4 oz (1.2-1.6 mm),Dublin Dark English Tan 4-5 oz
"Horween Chromexcel® Leather Panels - 1' Panel (12""x12"") - Burgundy - 5-6 oz (2-2.4 mm)",Panel Chrxl Burgundy 5-6 oz
"Horween Chromexcel® Leather Panels - 1' Panel (12""x12"") - Burgundy - 3-4 oz (1.2-1.6 mm)",Panel Chrxl Burgundy 3.5-4 oz
Horween Swatch Books - Glove,Sample Book - All Horween
Horween • Horween X Baseball Glove - Black,Baseball Glove Black 5 oz
Horween • Chromexcel® - Natural - 5-6 oz (2.0 –  2.4 mm),*Natural Aniline Chrxl 4.5-5oz
Horween • Essex - Brown Nut - 3-4 oz (1.2-1.6 mm),Essex Brown Nut 3.5-4 oz
Conceria Walpier • Buttero - No Resin - #7 Brown - 3-3.5 oz (1.2-1.4 mm),Buttero #2 Brown (Resin) 3-3.5
Conceria Walpier • Buttero - Resin - Black - 5-5.5 oz (2-2.2 mm),Buttero #100 Black (Res) 5-5.5
Virgilio • Smoked Matte - Natural - 3-4 oz (1.2-1.6 mm),Smoked Matte Natural 3-3.5 oz
Horween • Featherlite Baseball Glove - Black,Baseball Glove Black 5 oz
Tusting & Burnett • Sokoto Bookbinding - Midnight Navy,T & B Sokoto Book Navy 2 oz
C.F. Stead • Kudu Classic - Caramel: 4.5-5.5 oz // ~11 SF,Kudu Classic Caramel
Horween • Aspen Double Horsefronts - Natural - 2.5-3.5 oz (1.0-1.4 mm),DHF Aspen Natural
Horween • Derby - Cobalt Blue - 3-4 oz (1.2-1.6 mm),Derby Cobalt Blue 3.5-4 oz
"Horween Chromexcel® Leather Panels - 1' Panel (12""x12"") - Natural - 3-4 oz (1.2-1.6 mm)",Panel Chrxl Natural 3.5-4 oz
Horween Derby Leather Panels - 1’ Panel (12”x12”) - Natural - 3-4 oz (1.2-1.6 mm),Panel Derby Natural 3.5-4 oz
Horween Dublin Leather Panels - 1’ Panel (12”x12”) - Natural - 3-4 oz (1.2-1.6 mm),Panel Dublin Natural 3.5-4 oz
Horween • Chromexcel® - Navy - 5-6 oz (2.0 –  2.4 mm),*Navy Chrxl 5.5-6 oz
Horween Swatch Books - Football & Basketball,Sample Book - All Horween
Conceria Walpier • Buttero - Resin - #7 Brown - 5-5.5 oz (2-2.2 mm),Buttero #2 Brown (Resin) 5-5.5
"Horween Chromexcel® Leather Panels - 1' Panel (12""x12"") - Brown - 3-4 oz (1.2-1.6 mm)",Panel Chrxl Brown 3.5-4 oz
Horween • Dearborn - Fun Blue - 5-6 oz (2.0-2.4 mm),Dearborn Fun Blue 5-6 oz
Horween • Chromexcel® - Natural - 8-9 oz (3.2 –  3.6 mm),Beaufort Chrxl Natural 9-10 oz
Horween • Derby - Russet Brown - 4-5 oz (1.6 – 2 mm),Derby Russet Brown 3.5-4 oz
Horween • Chromexcel® - Natural - 3-4 oz (1.2-1.6 mm),*Chrxl Natural 4-5 oz
Horween • Chromexcel® - Greener Pastures - 3-4 oz (1.2-1.6 mm),Chrxl Greener Pastures 4-5 oz
Horween • Chromexcel® - Black - 3-4 oz (1.2-1.6 mm),*Black Chrxl 4-5 oz
Arazzo Alaska Upholstery Leather - Sage,Arazzo Alaska 0.9-1.1 mm
Horween Derby Leather Panels - 2’ Panel (12”x24”) - English Tan - 5-6 oz (2-2.4 mm),Panel Derby English T 5-6 oz
Horween • Chromexcel® - Greener Pastures - 5-6 oz (2.0 –  2.4 mm),Chrxl Greener Pastures 5-6 oz
Conceria Walpier • Buttero - Resin - Natural - 3-3.5 oz (1.2-1.4 mm),Buttero Natural (Resin) 3-3.5
Conceria Walpier • Buttero - No Resin - #2 Brown - 5-5.5 oz (2-2.2 mm),Buttero #2 Brown (Resin) 5-5.5
Horween • Essex - Natural - 4-5 oz (1.6 – 2 mm),*Natural Essex 4.5-5oz
Horween • Latigo - Moc - 5-6 oz (2.0 –  2.4 mm),*Anil Latigo Dark Rio 5-6 oz
Horween • Latigo - Black - 5-6 oz (2.0 –  2.4 mm),Aniline Latigo Black 5-6 oz
